nnavg,lda,lsa,mnb,nbsvm,rf,nnsum,svm
0.876114081996434,0.599821746880570,0.860071301247771,0.789661319073083,0.887700534759358,0.892156862745098,0.848484848484848,0.837789661319073
0.852941176470588,0.580213903743315,0.836898395721925,0.759358288770053,0.866310160427807,0.860962566844919,0.845811051693404,0.819964349376114
0.852941176470588,0.571301247771836,0.844919786096256,0.763814616755793,0.873440285204991,0.865418894830659,0.834224598930481,0.822638146167557
0.868092691622103,0.562388591800356,0.850267379679144,0.761140819964349,0.871657754010695,0.873440285204991,0.831550802139037,0.853832442067736
0.860071301247771,0.595365418894830,0.847593582887700,0.773618538324420,0.867201426024955,0.856506238859180,0.847593582887700,0.839572192513369
0.867201426024955,0.580213903743315,0.860071301247771,0.771836007130124,0.878787878787878,0.873440285204991,0.858288770053475,0.850267379679144
0.868983957219251,0.580213903743315,0.850267379679144,0.791443850267379,0.881461675579322,0.865418894830659,0.863636363636363,0.836898395721925
0.859180035650623,0.594474153297682,0.844919786096256,0.755793226381461,0.864527629233511,0.860962566844919,0.849376114081996,0.833333333333333
0.859180035650623,0.588235294117647,0.855614973262032,0.784313725490196,0.877896613190730,0.866310160427807,0.858288770053475,0.849376114081996
0.865418894830659,0.606951871657754,0.854723707664884,0.781639928698752,0.893048128342246,0.893048128342246,0.870766488413547,0.853832442067736
